,,,,,,
Veg. Mayo Grilled Sandwich,,veg-item,139,,,
Veggie Panini Sandwich,,veg-item,149,,,
Veggie Cheese Burst Sandwich,,veg-item,169,,,
Veg. Triple Decker,,veg-item,199,,,
Pulled Chicken Sandwich,,non-veg-item,179,,,
Chicken Tikka Sandwich,,non-veg-item,199,,,
Chicken Triple Decker,,non-veg-item,249,,,
Chicken Mushroom Panini,,non-veg-item,219,,,
