name ,decription,type,price
Salted French Fries ,,veg,140
Peri Peri French Fries ,,veg,170
Jamaican French Fries ,,veg,180
Cheesy French Fries ,,veg,230
Herb Garlic French Fries ,,veg,180
Crispy Chicken Stripes ,,non veg,300
