name ,decription,type,price
Crispy Paneer Wrap,,veg,250
Jamaican Veggie Roll,,veg,240
Peri Peri Paneer Wrap,,veg,280
Jamaican Chicken Wrap,,non veg,360
Fish Wrap,,non veg,390
Egg Wrap,,non veg,200
