,,,,,,
,Virgin Mojito,"(mint, lemonade)",159,,,
,Refreshing Lemonade,"(Cucumber, mint, lemonade)",159,,,
,Blue Lady,"(Blueberry,mint,lemonade)",179,,,
,Mickey Mouse,"(Ice-cream,cola)",99,,,
,Spicy Guava,"(Guava,chilly,lemonade)",179,,,
,Minty Watermelon,"(Mint,water,lemonade)",189,,,
