name ,decription,type,price
Mac & Cheese Pasta,,veg,320
Arrabiata Pasta ,,veg,280
Alfredo Pasta ,,veg,290
Chicken Mac & Cheese Pasta,,non veg,350
Chicken Pink Sauce Pasta,,non veg,360
Chicken Aglio Olio Pasta ,,non veg,450
