name ,decription,type,price
Cheese Burst ,,veg,270
Paneer Tikka ,,veg,280
Bruschetta ,,veg,250
Cheesy Chicken Garlic Bread ,,non veg,280
Chicken Tikka ,,non veg,300
Chicken & Mushroom ,,non veg,300
